Tanggal;Hujan
11/11/2015;1,49
12/11/2015;0,48
13/11/2015;0,27
14/11/2015;0,01
15/11/2015;0
16/11/2015;0,82
17/11/2015;0,97
18/11/2015;1,06
19/11/2015;0,85
20/11/2015;0,7
21/11/2015;0,22
22/11/2015;0
23/11/2015;0
24/11/2015;2,52
25/11/2015;22,38
26/11/2015;24,9
27/11/2015;2,72
28/11/2015;0,98
29/11/2015;0,78
30/11/2015;0,04
01/12/2015;0,03
02/12/2015;1,01
03/12/2015;0,97
04/12/2015;3,94
05/12/2015;6,53
06/12/2015;42,64
07/12/2015;2,7
08/12/2015;0,43
09/12/2015;2,24
10/12/2015;1,19
11/12/2015;0,76
12/12/2015;0,3
13/12/2015;0,13
14/12/2015;15,49
15/12/2015;3,35
16/12/2015;3,22
17/12/2015;4,66
18/12/2015;5,62
19/12/2015;1,52
20/12/2015;1,36
21/12/2015;9,18
22/12/2015;1,11
23/12/2015;3,79
24/12/2015;1,73
25/12/2015;0,71
26/12/2015;1,26
27/12/2015;11,14
28/12/2015;3,22
29/12/2015;7,36
30/12/2015;13,73
31/12/2015;13,53
01/01/2016;2,87
02/01/2016;2,24
03/01/2016;25,4
04/01/2016;12,65
05/01/2016;0,96
06/01/2016;0,04
07/01/2016;0
08/01/2016;1,41
09/01/2016;0,86
10/01/2016;2,19
11/01/2016;1,56
12/01/2016;0,06
13/01/2016;2,34
14/01/2016;1,11
15/01/2016;0,11
16/01/2016;0,15
17/01/2016;6,9
18/01/2016;17,89
19/01/2016;1,91
20/01/2016;9,87
21/01/2016;7,4
22/01/2016;6,03
23/01/2016;12,85
24/01/2016;4,1
25/01/2016;29,27
26/01/2016;12,09
27/01/2016;12,19
28/01/2016;6,19
29/01/2016;31,19
30/01/2016;8,34
31/01/2016;11,92
01/02/2016;3,81
02/02/2016;9,77
03/02/2016;1,49
04/02/2016;8,32
05/02/2016;22,38
06/02/2016;41,89
07/02/2016;16,7
08/02/2016;39,33
09/02/2016;22,34
10/02/2016;35,02
11/02/2016;14,94
12/02/2016;6,38
13/02/2016;1,11
14/02/2016;1,5
15/02/2016;15,9
16/02/2016;22,06
17/02/2016;13,87
18/02/2016;15,58
19/02/2016;1,69
20/02/2016;6,48
21/02/2016;22,41
22/02/2016;9,79
23/02/2016;20,61
24/02/2016;17,67
25/02/2016;35,8
26/02/2016;29,58
27/02/2016;23,55
28/02/2016;6,39
29/02/2016;4,39
01/03/2016;10,31
02/03/2016;4,59
03/03/2016;30,59
04/03/2016;3,99
05/03/2016;3,16
06/03/2016;3,56
07/03/2016;0,6
08/03/2016;0
09/03/2016;0,2
10/03/2016;2,76
11/03/2016;9,89
12/03/2016;0,33
13/03/2016;0,15
14/03/2016;4,73
15/03/2016;6,83
16/03/2016;9,14
17/03/2016;2,09
18/03/2016;12,86
19/03/2016;18,12
20/03/2016;5,93
21/03/2016;8,89
22/03/2016;1,09
23/03/2016;2,64
24/03/2016;6,52
25/03/2016;5,93
26/03/2016;4,19
27/03/2016;2,21
28/03/2016;1,6
29/03/2016;2,91
30/03/2016;17,56
31/03/2016;10,53
01/04/2016;24,45
02/04/2016;7,26
03/04/2016;4,61
04/04/2016;8,02
05/04/2016;10,79
06/04/2016;3,41
07/04/2016;1,95
08/04/2016;5,12
09/04/2016;37,7
10/04/2016;11,34
11/04/2016;4,25
12/04/2016;4,6
13/04/2016;5,11
14/04/2016;19,22
15/04/2016;39,29
16/04/2016;1,38
17/04/2016;0,03
18/04/2016;4,07
19/04/2016;3,48
20/04/2016;2,36
21/04/2016;2,08
22/04/2016;1,83
23/04/2016;1,32
24/04/2016;0,34
25/04/2016;0,61
26/04/2016;3,31
27/04/2016;2,4
28/04/2016;3,9
29/04/2016;0,26
30/04/2016;3,45
01/05/2016;7,4
02/05/2016;9,59
03/05/2016;14
04/05/2016;6,16
05/05/2016;0
06/05/2016;0,13
07/05/2016;15,1
08/05/2016;2,28
09/05/2016;10,02
10/05/2016;4,6
11/05/2016;2,67
12/05/2016;3,68
13/05/2016;0,87
14/05/2016;8,05
15/05/2016;2,25
16/05/2016;25,83
17/05/2016;22,43
18/05/2016;1,25
19/05/2016;3,4
20/05/2016;9,71
21/05/2016;19,69
22/05/2016;6,48
23/05/2016;10,39
24/05/2016;15,32
25/05/2016;1,43
26/05/2016;0,2
27/05/2016;3,53
28/05/2016;4,38
29/05/2016;8,82
30/05/2016;74,93
31/05/2016;12,58
01/06/2016;0,76
02/06/2016;0,85
03/06/2016;0
04/06/2016;0
05/06/2016;0
06/06/2016;1,46
07/06/2016;1,86
08/06/2016;0,95
09/06/2016;0,05
10/06/2016;0
11/06/2016;0
12/06/2016;0,01
13/06/2016;0,94
14/06/2016;8,21
15/06/2016;2,29
16/06/2016;4,42
17/06/2016;8,01
18/06/2016;17,68
19/06/2016;22,3
20/06/2016;1,08
21/06/2016;0,09
22/06/2016;10,95
23/06/2016;10,25
24/06/2016;0,17
25/06/2016;0,32
26/06/2016;0,47
27/06/2016;2,49
28/06/2016;16,92
29/06/2016;14,83
30/06/2016;10,85
01/07/2016;1,28
02/07/2016;4,18
03/07/2016;2,12
04/07/2016;0,01
05/07/2016;0
06/07/2016;0,03
07/07/2016;0,03
08/07/2016;0
09/07/2016;0
10/07/2016;0,73
11/07/2016;0,62
12/07/2016;0
13/07/2016;4,49
14/07/2016;16,52
15/07/2016;31,7
16/07/2016;7,35
17/07/2016;10,15
18/07/2016;7,62
19/07/2016;2,22
20/07/2016;11,54
21/07/2016;3,33
22/07/2016;10,75
23/07/2016;4,05
24/07/2016;1,01
25/07/2016;0,03
26/07/2016;0,47
27/07/2016;0,35
28/07/2016;0,1
29/07/2016;0
30/07/2016;19,91
31/07/2016;6,51
01/08/2016;0
02/08/2016;0
03/08/2016;0
04/08/2016;6,75
05/08/2016;4,71
06/08/2016;11,6
07/08/2016;11,52
08/08/2016;0,01
09/08/2016;0,32
10/08/2016;0,47
11/08/2016;0,03
12/08/2016;7,12
13/08/2016;18,93
14/08/2016;3,65
15/08/2016;0,09
16/08/2016;0,05
17/08/2016;0,97
18/08/2016;0,23
19/08/2016;0
20/08/2016;0
21/08/2016;0
22/08/2016;0
23/08/2016;0,02
24/08/2016;0,46
25/08/2016;0,19
26/08/2016;0
27/08/2016;1,76
28/08/2016;1,61
29/08/2016;1,84
30/08/2016;0,68
31/08/2016;0
01/09/2016;1,03
02/09/2016;1,04
03/09/2016;3,12
04/09/2016;1,74
05/09/2016;0,4
06/09/2016;0,01
07/09/2016;0,06
08/09/2016;0,02
09/09/2016;2,7
10/09/2016;1,46
11/09/2016;0
12/09/2016;0
13/09/2016;0,17
14/09/2016;0,01
15/09/2016;4,32
16/09/2016;2,5
17/09/2016;1,3
18/09/2016;0,4
19/09/2016;2,32
20/09/2016;8,16
21/09/2016;12,33
22/09/2016;5,05
23/09/2016;27,84
24/09/2016;23,21
25/09/2016;5,48
26/09/2016;14,45
27/09/2016;1,79
28/09/2016;2,76
29/09/2016;1,39
30/09/2016;8,75
01/10/2016;12,62
02/10/2016;53,02
03/10/2016;7,42
04/10/2016;2,31
05/10/2016;1,17
06/10/2016;0,05
07/10/2016;0,85
08/10/2016;41,74
09/10/2016;20,46
10/10/2016;14,52
11/10/2016;33,44
12/10/2016;6,87
13/10/2016;13,1
14/10/2016;4,09
15/10/2016;0
16/10/2016;0
17/10/2016;0
18/10/2016;1,36
